,difficulty,titles,sci_info,eng_lang,syl_per_word,ws_per_sents,not_easy_words,avg_wd_length,polysyls,monosyls,modals_per_sent,adj,verb,adp,adv,sconj,cconj,aux,det,avg_verb_length,avg_adj_length,avg_adv_length,flesch_score,ari_score,dale_score,smog,gunning_fog,cli,linsear_raw,linsear
108,5,b118_TheJoyLuckClub.txt,0,1,1.284444444,9.695652174,0.121076233,4.246636771,0.035874439,0.76,0.47826087,0.47826087,1.8260869569999998,0.6521739129999999,0.869565217,0.17391304300000002,0.347826087,0.695652174,0.956521739,5.023809524,4.6363636360000005,4.6,88.32991304,24.84948528,2.3926980669004,3.18940549,3.926691363,6.117309417,10.39130435,4.195652174
109,5,b119_IntheTimeoftheButterflies.txt,0,1,1.249169435,14.7,0.14285714300000002,4.24829932,0.040816327,0.794019934,0.1,0.95,2.0,1.7,0.85,0.3,0.35,0.55,2.9,5.425,5.210526316,4.058823529,86.23476578,27.3594898,2.9848342879700005,3.2020305089999996,5.937142857,7.1663945579999995,15.9,6.95
110,5,b120_TheBookThief.txt,0,1,1.213414634,8.333333332999999,0.135384615,4.378461538,0.030769231,0.826219512,0.102564103,0.35897435899999997,1.41025641,0.7692307690000001,0.794871795,0.153846154,0.23076923100000002,0.692307692,1.051282051,5.890909091,5.071428571,4.806451613,95.72178862,24.78922051,2.5510564041668005,3.1754116039999998,3.387487179,6.393353846,8.846153846,3.423076923
111,5,b121_SpeechtotheSecondVirginiaConvention.txt,1,0,1.322368421,15.58974359,0.15789473699999998,4.2327302630000005,0.074835526,0.78125,0.423076923,0.974358974,2.282051282,1.692307692,0.615384615,0.269230769,0.628205128,1.269230769,2.294871795,5.511235955,6.171052632,4.520833333,79.13904184,27.73103133,3.266409179294,3.273560827,6.299055331,7.189769737000001,17.92307692,7.961538462
112,5,b122_FarewellAddress.txt,1,0,1.579591837,22.22727273,0.290388548,4.760736196,0.17177914100000002,0.640816327,0.545454545,2.6818181819999998,2.772727273,2.5,1.636363636,0.681818182,0.8636363640000001,1.136363636,2.636363636,5.62295082,7.203389831,4.75,50.64084879,33.53670385,5.687707900328001,3.414462472,9.00706451,10.86143149,29.86363636,14.93181818
113,5,b123_GettysburgAddress.txt,1,0,1.324626866,23.81818182,0.15648855,4.320610687,0.076335878,0.77238806,1.0,1.9090909090000001,4.181818182,2.454545455,2.1818181819999998,0.9090909090000001,1.0909090909999999,1.363636364,3.3636363639999995,5.891304347999999,5.523809524,4.166666667,70.59611262,32.25916724,3.6523360227720003,3.2762894819999997,9.589868147,8.362442748,27.45454545,13.72727273
114,5,b124_SecondInauguralAddress.txt,1,0,1.378031384,22.51612903,0.184813754,4.5,0.09742120300000001,0.751783167,0.677419355,1.4193548390000001,3.806451613,2.870967742,1.193548387,0.7419354840000001,1.064516129,1.096774194,3.967741935,5.881355932000001,6.727272727000001,5.648648649,67.39967397,32.45306452,4.035009175548,3.312123699,9.080377114,9.345386819,26.90322581,13.4516129
115,5,b125_StateoftheUnionAddress.txt,1,0,1.55408971,15.58333333,0.23796791399999997,4.943850267,0.157754011,0.649076517,0.45833333299999995,1.8333333330000001,1.9583333330000001,2.375,0.375,0.291666667,0.5,0.666666667,2.625,5.617021277,6.477272727000001,8.111111111,59.54192722,31.07720143,4.530446695227999,3.3971825910000004,6.328520499,11.37037433,20.5,10.25
116,5,b126_IAmanAmericanDayAddress.txt,1,0,1.3043478259999999,21.73684211,0.079903148,4.13559322,0.075060533,0.7777777779999999,0.36842105299999994,0.947368421,2.578947368,1.947368421,1.263157895,0.7894736840000001,0.578947368,1.631578947,4.0,5.469387755,5.1111111110000005,4.375,74.42427918,30.34706512,2.339818075576,3.2739717739999996,8.726698101,7.155544794,25.0,12.5
117,5,b127_RemarkstotheSenatein.txt,1,0,1.551607445,20.18965517,0.241673783,4.7557643039999995,0.163962425,0.679357022,0.275862069,1.74137931,2.24137931,2.1896551719999997,1.0,0.810344828,0.810344828,1.4482758619999998,2.844827586,5.8307692310000006,7.277227722999999,5.7758620689999995,55.07651015,32.49447746,4.817435930002,3.40492274,8.172531582000001,10.69779675,26.81034483,13.40517241
